label,clean
1,yes exactly start hope flexed bicep lovely result finish clapping hand big thank entire team hard work winter let ’s push
1,pole position happy manage good bit qualify today great work team clap hand look forward race tomorrow ok hand
1,year old today big support clapping hand happy birthday party popper
0,lot work race want struggle pace race unfortunately finish race reliability problem week push flat react start jeddah
0,start tomorrow bad day let ’s
0,excelente inicio campeonato gran trabajo hondarace redbullrace cargar pila volver todo arabia saudita flexed bicep
0,muy buen inicio bloqueando primera fila equipo vamos todo mañana flexed bicep bahrain gp
0,’re long way want right lack commitment single member team know achieve ’m proud awesome group people
0,p6 quali want know build tomorrow count ’re mix good battle oncoming fist
0,domingo difícil sabíamos baréin iba ser duro toca centrarnos mejorar próximas carreras es primera año seguiremos apretando backhand index pointing right carlossainz
0,challenge sunday know bahrain tough time head improve upcoming race race ’ll push matter backhand index pointing right carlossainz
0,hoy hemos dado paso adelante equipo hemos reaccionado bien tras viernes difícil sensación general ha sido mejor mañana pelearemos hasta última vuelta intentar conseguir buen resultado vamos backhand index pointing right carlossainz
0,today step forward team ’ve react difficult day yesterday feel overall tomorrow ’ll fight lap try bring home good result let ’s race backhand index pointing right carlossainz
0,legend
0,hard work stop ’ll
0,feel like good day racin
0,day think honest ’m happy p11 ’re good position race
0,watch globe america d'o regardez vous globe europe africa
0,good fan fold handsmedium light skin tone enjoy race tomorrow
0,p9 race year car feel strong team focus let ’s point
0,p13 bahrain challenging race learn lot new car long season ahead oncoming fist f1 bahrain gp
0,start p17 bahrain want race tomorrow push raise hand f1 bahrain gp
0,hello green heart newenergy astonmartin f1
0,green heart
0,newenergy vamo
0,wow car smile face heart eye week ago present amr23 tomorrow start race top5 flush face thank team let ’s green heart come astonmartin f1 bahrain
0,point good recovery position gain obviously want fight potential package time work
0,super proud team ’d think ’d wait score point year pre season testing amazing p10 yesterday thank huge effort let ’s build nowflexed bicep
0,p10 let thank oncoming fistoncome fist
0,mix feeling today super proud lot work big improvement year think q3 card today unfortunately pick wing damage play tomorrow flex bicep bahrain gp
0,good cross arm memo
0,ag99honeybeeto list practice portim white heavy check mark sebre soon arrow ferrari499p
0,tough day disappoint final outcome pensive face work hand ’ll push bounce strong oncoming fist
0,lion facefire
0,good day p2 solid start excited race tomorrow smirk face
0,qualiday let ’s emopos
1,let ’s gooooo win season red heart incredibly proud team incredible work produce level begin time work hard stay oncoming fist
1,pole position babyyyyyyyy happy qualifying let ’s finish job tomorrow flexed bicep happy hard work year fight red heart
0,llena alegría corazón cada vez regreso casa red heart houseespero verte pronto gran premio méxico aparta ante nadie tu lugar ventaanticipada banorte
0,jaliscoesméxico cuando todos paran mi tierra aceleramos
0,win lose today lose podium fuel failure come strong positive thing fight weekend podium flexed bicep bahrain gp
0,n’t perfect lap good start team fight win tomorrow flexed biceps fue vuelta perfecta es buen inicio equipo mañana pelear victoria flexed bicep bahrain gp redbullrace
0,track day like
0,congrat guy
0,really strong team result today difficult week know work push hard know congrat podium oncoming fist
0,roll dice fight guy n’t work q3 tomorrow count ’re oncoming fist
0,grazie team amazing job weekend specially yesterday good pit stop time focus week ’s race flexed bicepsmedium light skin tonere circle essereferrari carlossainz
0,grazie team lavoro incredibile questo weekend sopratutto pit stop ieri adesso dobbiamo concentrarci sulla gara questa settimana flexed bicepsmedium light skin tonere circle essereferrari carlossainz
0,forza ferrari hot pepper essereferrari carlossainz
0,ferrari está vuelta doblete es recompensa tantísimo trabajo queremos compartir alegría todo tifosi sentido gusto coche semana viene vamos ello felicidade charles forza ferrari backhand index pointing right
0,ferrari congrat perfect reward endless job recover share joy tifosi feel home car weekend week congrat charle forza ferrari backhand index pointing right
0,p3 inicio prometedor después alguna dificultad hemos logrado rendimiento muy alto quali hemos peleado pole hasta final felicidade charles todo equipo darnos coche competitivo carrera backhand index pointing right carlossainz
0,p3 promise start struggle strong performance quali fight pole end congrat charles entire team competitive car let race backhand index pointing right carlossainz
0,ready vamo
0,flexed bicepsmedium light skin tone feliz día padre grande wink face carlossainz
0,great start season end good result ferraris great share podium big week work ahead know
0,great effort head push
0,oncoming fist
0,tough today surprise ’ll tomorrow congrat pole
0,flexed bicep
0,race white heavy check mark solid race double point team sorry mick lap incident onwards upwards firefire
0,’s finally race day year firefirefire
0,yes allez bleus trophyclappe hand
0,merci tout années aurélie blue heart
0,good quali mode close positive today bring race day smile face sunglass
0,thank raise hand
0,feel good position great car fantastic race massive bahrain gp
0,smile face open mouth cold sweatoncoming fistcollision
0,awesome day speechless hope wait om track tomorrow bahrain gp
0,oncoming fistcollision
0,execute race everybody start season point come weekend saudi raise fist clapping handslight skin tone alpine f1 bahrain
0,qualy season real test everybody p8 good feeling car focus tomorrow raise fist raise fist f1 alpine bahrain
0,aaarghhhh n’t like sunday bbq tough today lot positive race let ’s thank message ’m good fold handsmedium light skin tone congrat charlito
0,enjoy lap smile face open mouth cold sweat really happy n’t ask way start weekend tomorrow oncoming fist
0,welcome onboard thank support wait kickstart partnership weekend smile face open mouth close eyesvictory hand
0,good hustling oncoming fistlight skin tone
0,start season look ’ll fight weekend
0,weekend team let ’s gooooo msc47
0,proud teamshooting star msc47
0,tell why’all ideaslight bulb msc47
0,happy today let ’s tomorrow bring firework msc47
0,quali light tonight sparklessoon arrow nl6
0,nessuno meglio chi ha fatto storia poteva dare inizio nuova era orgoglioso farne parte continuamo lavorarefire new era begin sign cavallino exciting congrat flex bicep
0,strong race come bring flexed bicep keeppushe bahrain gp
0,emopos lion face unleashthelion keeppushe bahrain gp
0,yes boy work perfectly qualify ’m really happy pole position sign horn great job team track factory ok hand thank power flex bicep keeppushe bahrain gp
0,quali day time shine collision unleashthelion bahrain gp
0,good step forward want imola
0,p4 enjoy oncoming fist
0,importante hoy fue pudimos hacer esos km tanto necesitamos adaptarnos coche gran trabajo excelente remontada es solo inicio tenemos mucho trabajo delante regresaremo fuertes redbullrace checoredbu11 chargeon nevergiveup
0,gran trabajo todo equipo gran vuelta max buen inicio mañana vamos buscar hacer gran carrera empezar grande punto fue pena perdernos q3 cada km coche siento cómodo empiezo entenderlo nevergiveup checoredbu11
0,crazy race good battle ’ve work stay fight big push flexed bicep
0,kicking year q2 happy ’re focus tomorrow oncoming fist
0,happy day legend
0,cross sword good racing movie camera carlossainz
0,buena carrera arriesgado mucho salida era clave acabar gp sumar experiencia sf21 luego ganado confianza hemos mostrado ritmo muy fuerte comienzo alentador adelantamiento divertidos trabajaremos duro mejorar backhand index pointing right
0,solid race n’t risk start crucial finish race build experience car lap confidence display strong pace encourage start fun overtake push improve backhand index pointing right
0,día positivo aunque hemos clavado última vuelta difícil q1 parón motor reaccionamos gran q2 falta entender poco coche habrá tiempo analizar quali ahora centrado carrera flexed bicepsmedium light skin tone backhand index pointing right
0,positive day despite nail lap tricky q1 sudden engine stop recover strong q2 lack bit knowledge car ’ll analyse qualy time focus tomorrow ’s race flexed bicepslight skin tone backhand index pointing right
1,whilst celebrate victory important remind action speak loud word road ahead create pathway kid like long strenuous journey ’m proud
1,love challenge love sport way start season raise handsmedium dark skin tone today reminder harness channel collective power accomplish great thing great emopos
1,heart suit
1,’m different
1,’m grateful work team car team member factory w12 ’s deliver race weekend honour team raise handsmedium dark skin tone wewinandlosetogether
0,good start let ’s
0,result hope fight spirit today onefire eo31 bahrain gp
0,yellow flag stop qualify today catch tomorrow let ’s eo31 bahrain gp
0,enjoy television evening thank handmedium light skin tone
0,esto gusta mucho muchísimo high voltage primera salida año primeras batallas oleeee miss high voltage start year battle oleeee alpine f1 bahrain
0,race season white heavy check mark nice special feel adrenaline start lap enjoy moment stop car unfortunately wait progress flexed bicep blue heart f1 bahrain alpine
0,buen sábado mañana día carrera fold hand f1 alpine bahrain
0,argh surprised contact t5 dan lose wing damage floor disappoint pace look strong weekend good point lot positive weekend look forward imola
0,race day fold handsmedium light skin tone bahrain gp
0,merci mec focus finir job aujourd’hui flexed bicepsmedium light skin tone
0,p5 happy team today flexed bicepsmedium light skin tone great qualifying season excite race tomorrow eye bahrain gp
0,clapping handsclappe handsclappe hand mega stuff boy
0,column raise hand month ’ll scene update thing f1 let know think memovictory hand
0,lot learn overall happy weekend p16 big thank hard work guy n’t ask group people look forward racecall hand msc47
0,saturday night fever man dance msc47
0,like helmet design msc47 haasf1 info new youtube channel
0,want race season race person shrugginglight skin tone male sign manage boost issue lap just worse ultimately lead retire imola oncome fistlight skin tone
0,conosciamo nostro valore oggi possiamo essere delusi strada lunga sapremo riscattarci flexed bicep ’re upset know value ’m sure ’ll chance oncoming fist bahrain gp f1 ag99honeybee
0,finalmente siamo tornati smile face heart eye domani tra sabbia stelle sar lotta serrata noi siamo pronti dare battaglia cross sword drive midst sand star make incredible race oncoming fist alfaromeorace f1 bahrain gp ag99honeybee
0,pleased positive response interview release week thinking face really enjoyable chat ’ve long time company n’t half bad winking face alreadybackhand index pointing right
0,thankfully romain walk away awful crash hopefully recover soon fold handslight skin tone ’m happy solid p2 good result flexed bicep bahrain gp
0,rocketenvelope unleashthelion lion face keeppushe bahrain gp
0,know dad couch care little brother maybe teleport know need ask dad face stuck tongue
